Moves,Frequencies
6,16
7,84
8,238
9,458
10,768
11,1218
12,1645
13,1994
14,2369
15,2788
16,3179
17,3488
18,3739
19,3960
20,4185
21,4308
22,4359
23,4425
24,4526
25,4633
26,4645
27,4585
28,4574
29,4647
30,4546
31,4409
32,4359
33,4229
34,4114
35,4007
36,3985
37,3858
38,3735
39,3644
40,3491
41,3396
42,3247
43,3146
44,3000
45,2999
46,3033
47,2805
48,2646
49,2517
50,2414
51,2377
52,2275
53,2201
54,2134
55,2075
56,1970
57,1863
58,1799
59,1752
60,1684
61,1544
62,1463
63,1437
64,1362
65,1276
66,1260
67,1244
68,1186
69,1108
70,1069
71,1026
72,953
73,927
74,899
75,872
76,797
77,704
78,681
79,670
80,641
81,645
82,635
83,600
84,574
85,517
86,518
87,521
88,479
89,422
90,375
91,421
92,399
93,338
94,349
95,345
96,318
97,304
98,295
99,274
100,265
101,247
102,218
103,212
104,247
105,244
106,209
107,182
108,167
109,167
110,169
111,177
112,168
113,169
114,158
115,131
116,125
117,125
118,113
119,100
120,107
121,106
122,100
123,101
124,85
125,83
126,92
127,80
128,78
129,84
130,68
131,65
132,70
133,60
134,62
135,60
136,48
137,42
138,34
139,34
140,40
141,38
142,31
143,33
144,38
145,33
146,30
147,30
148,27
149,36
150,39
151,29
152,29
153,25
154,18
155,22
156,22
157,23
158,23
159,21
160,21
161,21
162,20
163,16
164,9
165,6
166,5
167,5
168,11
169,14
170,11
171,5
172,4
173,4
174,8
175,8
176,6
177,7
178,10
179,13
180,9
181,8
182,8
183,5
184,6
185,6
186,7
187,6
188,1
189,3
190,5
191,5
192,5
193,5
194,5
195,4
196,2
197,2
198,4
199,4
200,6
201,4
202,1
203,2
204,2
205,1
206,1
207,2
208,2
209,1
210,1
211,1
212,1
213,1
214,1
215,2
216,1
217,1
218,2
219,2
220,2
221,1
225,2
226,2
227,2
228,3
229,1
234,1
235,1
236,1
237,1
247,1
248,1
249,1
250,1
258,1
259,1
262,1
263,1
266,1
267,1
269,1
270,1
284,1
285,1
327,1
328,1
