Moves,Frequencies
7,3235
8,3240
9,1010
10,2341
11,2647
12,2940
13,3478
14,3666
15,3854
16,4027
17,4032
18,4110
19,4117
20,4111
21,4190
22,4103
23,4064
24,4074
25,3954
26,3798
27,3753
28,3766
29,3638
30,3587
31,3555
32,3318
33,3235
34,3114
35,2911
36,2928
37,2891
38,2885
39,2862
40,2750
41,2655
42,2572
43,2517
44,2391
45,2274
46,2223
47,2157
48,2121
49,2094
50,2022
51,1904
52,1843
53,1811
54,1736
55,1667
56,1605
57,1519
58,1531
59,1498
60,1443
61,1404
62,1360
63,1336
64,1287
65,1231
66,1159
67,1132
68,1133
69,1119
70,1070
71,1013
72,975
73,926
74,936
75,927
76,853
77,824
78,793
79,770
80,747
81,678
82,687
83,732
84,657
85,629
86,645
87,619
88,626
89,631
90,589
91,547
92,538
93,506
94,484
95,467
96,446
97,425
98,388
99,393
100,387
101,358
102,358
103,366
104,371
105,349
106,323
107,308
108,319
109,311
110,303
111,286
112,264
113,257
114,247
115,252
116,256
117,248
118,227
119,194
120,175
121,207
122,215
123,178
124,159
125,163
126,181
127,183
128,154
129,154
130,156
131,147
132,159
133,151
134,131
135,124
136,122
137,122
138,120
139,120
140,113
141,104
142,107
143,98
144,96
145,99
146,94
147,80
148,69
149,79
150,75
151,65
152,68
153,75
154,77
155,79
156,80
157,60
158,57
159,60
160,52
161,47
162,56
163,60
164,53
165,52
166,47
167,46
168,42
169,48
170,57
171,45
172,33
173,33
174,34
175,36
176,36
177,32
178,34
179,31
180,29
181,26
182,21
183,25
184,21
185,16
186,19
187,17
188,19
189,19
190,18
191,22
192,21
193,26
194,25
195,19
196,14
197,12
198,16
199,16
200,15
201,14
202,22
203,23
204,12
205,17
206,15
207,14
208,16
209,13
210,11
211,8
212,13
213,9
214,3
215,9
216,13
217,9
218,9
219,9
220,7
221,11
222,9
223,6
224,6
225,3
226,8
227,11
228,7
229,8
230,9
231,5
232,2
233,4
234,9
235,9
236,6
237,7
238,10
239,8
240,4
241,2
242,5
243,7
244,7
245,4
246,2
247,3
248,1
250,2
251,4
252,4
253,4
254,4
255,5
256,5
257,5
258,3
259,1
260,2
261,2
262,4
263,4
264,1
265,2
266,2
267,2
268,2
269,1
270,2
271,1
274,1
275,1
279,2
280,3
281,2
282,1
286,1
287,3
288,2
289,1
290,1
296,1
297,1
300,1
301,1
304,1
305,1
310,1
311,1
313,1
314,1
315,1
316,1
317,1
318,1
327,1
328,1
350,1
351,1
353,1
354,1
373,1
374,1
