Moves,Frequencies
8,5
9,24
10,55
11,109
12,173
13,271
14,400
15,547
16,693
17,830
18,937
19,1123
20,1203
21,1349
22,1482
23,1610
24,1698
25,1717
26,1865
27,1885
28,1958
29,2105
30,2084
31,2039
32,2110
33,2105
34,2181
35,2098
36,2037
37,2084
38,2004
39,1990
40,2001
41,1969
42,1935
43,1749
44,1833
45,1893
46,1762
47,1648
48,1659
49,1586
50,1518
51,1538
52,1400
53,1423
54,1399
55,1258
56,1312
57,1203
58,1170
59,1173
60,1115
61,1098
62,1050
63,994
64,930
65,932
66,828
67,840
68,804
69,769
70,714
71,691
72,677
73,597
74,606
75,609
76,581
77,534
78,533
79,468
80,491
81,448
82,436
83,395
84,369
85,358
86,360
87,373
88,365
89,329
90,288
91,290
92,254
93,260
94,252
95,233
96,226
97,232
98,217
99,207
100,167
101,187
102,169
103,174
104,161
105,149
106,156
107,119
108,125
109,134
110,128
111,119
112,103
113,89
114,100
115,71
116,78
117,95
118,84
119,78
120,71
121,70
122,81
123,56
124,53
125,54
126,57
127,54
128,52
129,58
130,49
131,56
132,56
133,44
134,41
135,35
136,24
137,22
138,27
139,33
140,27
141,27
142,32
143,25
144,19
145,23
146,17
147,15
148,19
149,17
150,18
151,15
152,16
153,13
154,12
155,8
156,11
157,11
158,13
159,12
160,14
161,8
162,8
163,8
164,12
165,7
166,7
167,8
168,9
169,5
170,11
171,4
172,10
173,7
174,7
175,5
176,3
177,6
178,5
179,3
180,2
181,10
182,4
183,2
184,2
185,2
186,3
187,1
188,2
190,3
191,3
192,2
193,2
194,2
195,2
196,2
197,2
198,2
201,1
202,1
203,1
204,1
205,2
208,1
209,2
212,1
213,2
214,1
215,1
217,1
220,1
223,2
230,1
236,1
249,1
257,1
296,1
