Moves,Frequencies
7,5
8,29
9,79
10,164
11,282
12,444
13,671
14,947
15,1240
16,1523
17,1767
18,2060
19,2326
20,2552
21,2831
22,3092
23,3308
24,3415
25,3582
26,3750
27,3843
28,4063
29,4189
30,4123
31,4149
32,4215
33,4286
34,4279
35,4135
36,4121
37,4088
38,3994
39,3991
40,3970
41,3904
42,3684
43,3582
44,3726
45,3655
46,3410
47,3307
48,3245
49,3104
50,3056
51,2938
52,2823
53,2822
54,2657
55,2570
56,2515
57,2373
58,2343
59,2288
60,2213
61,2148
62,2044
63,1924
64,1862
65,1760
66,1668
67,1644
68,1573
69,1483
70,1405
71,1368
72,1274
73,1203
74,1215
75,1190
76,1115
77,1067
78,1001
79,959
80,939
81,884
82,831
83,764
84,727
85,718
86,733
87,738
88,694
89,617
90,578
91,544
92,514
93,512
94,485
95,459
96,458
97,449
98,424
99,374
100,354
101,356
102,343
103,335
104,310
105,305
106,275
107,244
108,259
109,262
110,247
111,222
112,192
113,189
114,171
115,149
116,173
117,179
118,162
119,149
120,141
121,151
122,137
123,109
124,107
125,111
126,111
127,106
128,110
129,107
130,105
131,112
132,100
133,85
134,76
135,59
136,46
137,49
138,60
139,60
140,54
141,59
142,57
143,44
144,42
145,40
146,32
147,34
148,36
149,35
150,33
151,31
152,29
153,25
154,20
155,19
156,22
157,24
158,25
159,26
160,22
161,16
162,16
163,20
164,19
165,14
166,15
167,17
168,14
169,16
170,15
171,14
172,17
173,14
174,12
175,8
176,9
177,11
178,8
179,5
180,12
181,14
182,6
183,4
184,4
185,5
186,4
187,3
188,2
189,3
190,6
191,5
192,4
193,4
194,4
195,4
196,4
197,4
198,2
200,1
201,2
202,2
203,2
204,3
205,2
207,1
208,3
209,2
211,1
212,3
213,3
214,2
215,1
216,1
217,1
219,1
220,1
222,2
223,2
229,1
230,1
235,1
236,1
248,1
249,1
256,1
257,1
295,1
296,1


