Moves,Frequencies
13,4
14,41
15,23
16,88
17,89
18,191
19,157
20,301
21,264
22,480
23,456
24,643
25,580
26,843
27,687
28,1057
29,860
30,1076
31,936
32,1221
33,1124
34,1296
35,1234
36,1426
37,1337
38,1502
39,1435
40,1559
41,1393
42,1570
43,1475
44,1580
45,1461
46,1595
47,1413
48,1602
49,1401
50,1656
51,1463
52,1542
53,1390
54,1595
55,1287
56,1530
57,1332
58,1414
59,1272
60,1435
61,1225
62,1339
63,1209
64,1213
65,1167
66,1302
67,1110
68,1184
69,1007
70,1156
71,1042
72,1078
73,995
74,1042
75,982
76,1040
77,913
78,927
79,832
80,826
81,774
82,826
83,741
84,844
85,697
86,734
87,683
88,767
89,652
90,647
91,563
92,648
93,562
94,537
95,507
96,533
97,516
98,524
99,461
100,516
101,468
102,435
103,407
104,441
105,392
106,427
107,378
108,399
109,340
110,386
111,321
112,355
113,298
114,346
115,293
116,317
117,303
118,274
119,256
120,292
121,246
122,249
123,222
124,255
125,225
126,250
127,182
128,206
129,189
130,196
131,169
132,183
133,168
134,175
135,148
136,157
137,147
138,169
139,124
140,132
141,137
142,133
143,111
144,122
145,119
146,131
147,111
148,124
149,123
150,93
151,108
152,106
153,98
154,102
155,71
156,70
157,69
158,78
159,69
160,75
161,46
162,71
163,67
164,84
165,60
166,74
167,65
168,65
169,51
170,55
171,48
172,57
173,56
174,46
175,39
176,47
177,55
178,52
179,51
180,39
181,33
182,35
183,35
184,33
185,42
186,31
187,33
188,35
189,29
190,40
191,31
192,36
193,24
194,33
195,19
196,25
197,20
198,28
199,19
200,27
201,14
202,18
203,23
204,18
205,16
206,32
207,15
208,18
209,16
210,10
211,16
212,7
213,13
214,16
215,13
216,18
217,14
218,14
219,15
220,8
221,7
222,9
223,7
224,11
225,12
226,8
227,8
228,10
229,6
230,6
231,11
232,9
233,12
234,8
235,10
236,6
237,5
238,9
239,4
240,6
241,3
242,3
243,8
244,8
245,6
246,7
247,8
248,3
249,1
250,5
251,3
252,4
253,4
254,4
255,3
256,2
257,2
258,6
259,3
260,2
262,1
263,3
264,6
265,2
266,1
267,3
268,3
269,1
270,3
271,3
272,2
273,3
275,2
276,3
277,1
278,1
279,2
281,2
282,2
283,3
284,1
287,3
288,1
289,2
290,1
291,1
292,2
293,1
295,1
298,2
302,1
303,1
304,2
305,2
308,1
309,1
310,2
313,1
319,2
324,1
327,1
328,3
331,1
334,1
338,1
340,2
347,1
348,2
353,1
367,1
372,1
375,1
379,1
461,1
