Moves,Frequencies
12,4
13,45
14,64
15,111
16,177
17,280
18,348
19,458
20,565
21,744
22,936
23,1099
24,1223
25,1423
26,1530
27,1744
28,1917
29,1936
30,2012
31,2157
32,2345
33,2420
34,2530
35,2660
36,2763
37,2839
38,2937
39,2994
40,2952
41,2963
42,3045
43,3055
44,3041
45,3056
46,3008
47,3015
48,3003
49,3057
50,3119
51,3005
52,2932
53,2985
54,2882
55,2817
56,2862
57,2746
58,2686
59,2707
60,2660
61,2564
62,2548
63,2422
64,2380
65,2469
66,2412
67,2294
68,2191
69,2163
70,2198
71,2120
72,2073
73,2037
74,2024
75,2022
76,1953
77,1840
78,1759
79,1658
80,1600
81,1600
82,1567
83,1585
84,1541
85,1431
86,1417
87,1450
88,1419
89,1299
90,1210
91,1211
92,1210
93,1099
94,1044
95,1040
96,1049
97,1040
98,985
99,977
100,984
101,903
102,842
103,848
104,833
105,819
106,805
107,777
108,739
109,726
110,707
111,676
112,653
113,644
114,639
115,610
116,620
117,577
118,530
119,548
120,538
121,495
122,471
123,477
124,480
125,475
126,432
127,388
128,395
129,385
130,365
131,352
132,351
133,343
134,323
135,305
136,304
137,316
138,293
139,256
140,269
141,270
142,244
143,233
144,241
145,250
146,242
147,235
148,247
149,216
150,201
151,214
152,204
153,200
154,173
155,141
156,139
157,147
158,147
159,144
160,121
161,117
162,138
163,151
164,144
165,134
166,139
167,130
168,116
169,106
170,103
171,105
172,113
173,102
174,85
175,86
176,102
177,107
178,103
179,90
180,72
181,68
182,70
183,68
184,75
185,73
186,64
187,68
188,64
189,69
190,71
191,67
192,60
193,57
194,52
195,44
196,45
197,48
198,47
199,46
200,41
201,32
202,41
203,41
204,34
205,48
206,47
207,33
208,34
209,26
210,26
211,23
212,20
213,29
214,29
215,31
216,32
217,28
218,29
219,23
220,15
221,16
222,16
223,18
224,23
225,20
226,16
227,18
228,16
229,12
230,17
231,20
232,21
233,20
234,18
235,16
236,11
237,14
238,13
239,10
240,9
241,6
242,11
243,16
244,14
245,13
246,15
247,11
248,4
249,6
250,8
251,7
252,8
253,8
254,7
255,5
256,4
257,8
258,9
259,5
260,2
261,1
262,4
263,9
264,8
265,3
266,4
267,6
268,4
269,4
270,6
271,5
272,5
273,3
274,2
275,5
276,4
277,2
278,3
279,2
280,2
281,4
282,5
283,4
284,1
286,3
287,4
288,3
289,3
290,2
291,3
292,3
293,1
294,1
295,1
297,2
298,2
301,1
302,2
303,3
304,4
305,2
307,1
308,2
309,3
310,2
312,1
313,1
318,2
319,2
323,1
324,1
326,1
327,4
328,3
330,1
331,1
333,1
334,1
337,1
338,1
339,2
340,2
346,1
347,3
348,2
352,1
353,1
366,1
367,1
371,1
372,1
374,1
375,1
378,1
379,1
460,1
461,1
