Moves,Frequencies
8,3235
9,5
10,1005
11,1336
12,1311
13,1629
14,1849
15,1817
16,2037
17,1990
18,2042
19,2068
20,2049
21,2062
22,2128
23,1975
24,2089
25,1985
26,1969
27,1829
28,1924
29,1842
30,1796
31,1791
32,1764
33,1554
34,1681
35,1433
36,1478
37,1450
38,1441
39,1444
40,1418
41,1332
42,1323
43,1249
44,1268
45,1123
46,1151
47,1072
48,1085
49,1036
50,1058
51,964
52,940
53,903
54,908
55,828
56,839
57,766
58,753
59,778
60,720
61,723
62,681
63,679
64,657
65,630
66,601
67,558
68,574
69,559
70,560
71,510
72,503
73,472
74,454
75,482
76,445
77,408
78,416
79,377
80,393
81,354
82,324
83,363
84,369
85,288
86,341
87,304
88,315
89,311
90,320
91,269
92,278
93,260
94,246
95,238
96,229
97,217
98,208
99,180
100,213
101,174
102,184
103,174
104,192
105,179
106,170
107,153
108,155
109,164
110,147
111,156
112,130
113,134
114,123
115,124
116,128
117,128
118,120
119,107
120,87
121,88
122,119
123,96
124,82
125,77
126,86
127,95
128,88
129,66
130,88
131,68
132,79
133,80
134,71
135,60
136,64
137,58
138,64
139,56
140,64
141,49
142,55
143,52
144,46
145,50
146,49
147,45
148,35
149,34
150,45
151,30
152,35
153,33
154,42
155,35
156,44
157,36
158,24
159,33
160,27
161,25
162,22
163,34
164,26
165,27
166,25
167,22
168,24
169,18
170,30
171,27
172,18
173,15
174,18
175,16
176,20
177,16
178,16
179,18
180,13
181,16
182,10
183,11
184,14
185,7
186,9
187,10
188,7
189,12
190,7
191,11
192,11
193,10
194,16
195,9
196,10
197,4
198,8
199,8
200,8
201,7
202,7
203,15
204,8
205,4
206,13
207,2
208,12
209,4
210,9
211,2
212,6
213,7
214,2
215,1
216,8
217,5
218,4
219,5
220,4
221,3
222,8
223,1
224,5
225,1
226,2
227,6
228,5
229,2
230,6
231,3
232,2
234,4
235,5
236,4
237,2
238,5
239,5
240,3
241,1
242,1
243,4
244,3
245,4
247,2
248,1
251,2
252,2
253,2
254,2
255,2
256,3
257,2
258,3
260,1
261,1
262,1
263,3
264,1
266,2
268,2
270,1
271,1
275,1
280,2
281,1
282,1
287,1
288,2
290,1
297,1
301,1
305,1
311,1
314,1
316,1
318,1
328,1
351,1
354,1
374,1
