Moves,Frequencies
6,6
7,10
8,34
9,44
10,59
11,87
12,104
13,114
14,116
15,130
16,165
17,169
18,180
19,166
20,163
21,197
22,199
23,196
24,192
25,188
26,181
27,216
28,199
29,188
30,191
31,211
32,191
33,199
34,201
35,185
36,193
37,223
38,202
39,213
40,234
41,193
42,223
43,209
44,222
45,208
46,223
47,237
48,204
49,208
50,223
51,221
52,208
53,211
54,194
55,185
56,229
57,185
58,204
59,219
60,193
61,193
62,212
63,182
64,210
65,190
66,196
67,195
68,182
69,211
70,199
71,200
72,223
73,174
74,204
75,215
76,191
77,184
78,191
79,224
80,210
81,200
82,180
83,200
84,190
85,196
86,199
87,177
88,199
89,190
90,174
91,173
92,185
93,175
94,195
95,196
96,202
97,211
98,187
99,192
100,171
101,190
102,204
103,198
104,181
105,162
106,170
107,184
108,201
109,195
110,184
111,181
112,167
113,184
114,190
115,184
116,204
117,152
118,158
119,181
120,140
121,167
122,186
123,172
124,192
125,192
126,191
127,167
128,184
129,199
130,171
131,162
132,160
133,202
134,162
135,158
136,159
137,164
138,200
139,172
140,177
141,167
142,147
143,169
144,161
145,158
146,165
147,174
148,150
149,143
150,148
151,156
152,175
153,189
154,167
155,170
156,139
157,165
158,179
159,137
160,148
161,157
162,135
163,142
164,170
165,156
166,165
167,167
168,171
169,141
170,167
171,171
172,166
173,155
174,168
175,143
176,155
177,160
178,154
179,137
180,169
181,161
182,164
183,153
184,136
185,143
186,153
187,152
188,149
189,152
190,162
191,166
192,172
193,147
194,145
195,151
196,148
197,163
198,149
199,145
200,177
201,145
202,145
203,131
204,145
205,140
206,133
207,152
208,112
209,156
210,158
211,166
212,153
213,146
214,182
215,150
216,138
217,138
218,146
219,120
220,126
221,156
222,145
223,143
224,134
225,146
226,143
227,153
228,135
229,136
230,122
231,135
232,149
233,135
234,142
235,125
236,130
237,151
238,129
239,157
240,147
241,137
242,137
243,126
244,128
245,133
246,144
247,145
248,128
249,130
250,152
251,159
252,137
253,144
254,127
255,120
256,110
257,146
258,125
259,124
260,147
261,121
262,112
263,120
264,119
265,130
266,139
267,131
268,123
269,143
270,118
271,115
272,125
273,126
274,96
275,124
276,134
277,132
278,130
279,141
280,107
281,131
282,115
283,112
284,118
285,109
286,118
287,121
288,135
289,122
290,130
291,124
292,132
293,115
294,106
295,124
296,101
297,133
298,130
299,118
300,136
301,113
302,108
303,146
304,126
305,118
306,128
307,120
308,114
309,103
310,115
311,110
312,120
313,106
314,123
315,118
316,121
317,115
318,119
319,110
320,135
321,96
322,112
323,99
324,109
325,112
326,130
327,107
328,104
329,90
330,124
331,86
332,126
333,103
334,95
335,112
336,101
337,116
338,103
339,105
340,105
341,110
342,112
343,98
344,112
345,103
346,92
347,117
348,127
349,93
350,106
351,107
352,108
353,122
354,100
355,118
356,104
357,99
358,101
359,90
360,127
361,111
362,124
363,80
364,95
365,109
366,112
367,106
368,83
369,102
370,101
371,88
372,101
373,85
374,111
375,108
376,89
377,94
378,88
379,101
380,102
381,99
382,98
383,104
384,108
385,97
386,104
387,86
388,87
389,81
390,91
391,90
392,90
393,108
394,92
395,104
396,97
397,89
398,84
399,98
400,94
401,80
402,86
403,96
404,96
405,93
406,96
407,93
408,111
409,92
410,84
411,72
412,101
413,83
414,100
415,89
416,87
417,89
418,103
419,108
420,81
421,101
422,84
423,85
424,102
425,99
426,110
427,73
428,97
429,84
430,92
431,101
432,92
433,76
434,96
435,103
436,97
437,104
438,90
439,103
440,86
441,85
442,110
443,92
444,83
445,85
446,79
447,74
448,99
449,88
450,105
451,78
