Moves,Frequencies
4,4
5,30
6,72
7,165
8,263
9,361
10,463
11,540
12,646
13,709
14,794
15,785
16,832
17,844
18,888
19,956
20,905
21,927
22,983
23,1007
24,973
25,977
26,901
27,1009
28,976
29,992
30,1002
31,972
32,922
33,914
34,981
35,966
36,953
37,949
38,883
39,897
40,852
41,867
42,772
43,838
44,865
45,822
46,732
47,812
48,814
49,753
50,782
51,731
52,742
53,705
54,772
55,690
56,799
57,755
58,706
59,668
60,691
61,664
62,697
63,648
64,625
65,610
66,663
67,623
68,636
69,624
70,625
71,626
72,594
73,584
74,545
75,542
76,572
77,547
78,611
79,562
80,591
81,525
82,558
83,547
84,534
85,488
86,531
87,522
88,451
89,480
90,466
91,481
92,439
93,442
94,436
95,454
96,458
97,463
98,440
99,428
100,353
101,426
102,415
103,410
104,416
105,427
106,418
107,382
108,381
109,415
110,367
111,373
112,349
113,379
114,368
115,337
116,366
117,377
118,317
119,336
120,352
121,325
122,340
123,324
124,322
125,330
126,297
127,313
128,304
129,313
130,316
131,304
132,288
133,257
134,302
135,275
136,282
137,267
138,271
139,282
140,269
141,271
142,258
143,226
144,268
145,246
146,241
147,231
148,252
149,235
150,216
151,254
152,220
153,203
154,228
155,191
156,231
157,208
158,228
159,241
160,196
161,211
162,231
163,221
164,171
165,190
166,216
167,178
168,182
169,171
170,179
171,201
172,170
173,196
174,177
175,151
176,163
177,166
178,152
179,160
180,166
181,147
182,170
183,135
184,161
185,145
186,144
187,149
188,153
189,136
190,140
191,137
192,152
193,135
194,119
195,139
196,117
197,151
198,120
199,136
200,128
201,98
202,112
203,128
204,111
205,101
206,123
207,115
208,109
209,117
210,111
211,97
212,119
213,97
214,102
215,111
216,89
217,100
218,116
219,90
220,89
221,91
222,92
223,108
224,98
225,95
226,87
227,89
228,66
229,103
230,70
231,76
232,93
233,80
234,81
235,100
236,86
237,86
238,74
239,73
240,72
241,69
242,68
243,80
244,63
245,76
246,74
247,79
248,72
249,61
250,76
251,80
252,60
253,63
254,69
255,64
256,56
257,69
258,59
259,63
260,53
261,60
262,59
263,55
264,54
265,46
266,35
267,62
268,53
269,52
270,53
271,59
272,49
273,36
274,52
275,53
276,50
277,43
278,41
279,46
280,52
281,51
282,32
283,48
284,36
285,46
286,55
287,54
288,45
289,37
290,38
291,38
292,32
293,34
294,37
295,42
296,33
297,50
298,38
299,37
300,47
301,40
302,34
303,44
304,33
305,40
306,35
307,34
308,36
309,39
310,36
311,26
312,25
313,28
314,28
315,30
316,33
317,26
318,25
319,23
320,33
321,28
322,28
323,30
324,21
325,22
326,28
327,26
328,20
329,21
330,30
331,23
332,17
333,33
334,29
335,22
336,22
337,25
338,40
339,27
340,25
341,25
342,23
343,21
344,22
345,11
346,24
347,21
348,20
349,22
350,21
351,16
352,13
353,20
354,15
355,16
356,21
357,19
358,22
359,12
360,17
361,16
362,17
363,16
364,17
365,18
366,16
367,24
368,15
369,12
370,16
371,20
372,12
373,17
374,15
375,18
376,10
377,20
378,12
379,10
380,11
381,16
382,10
383,9
384,8
385,12
386,16
387,16
388,10
389,14
390,12
391,17
392,12
393,8
394,8
395,7
396,13
397,16
398,10
399,10
400,7
401,9
402,14
403,9
404,6
405,6
406,13
407,8
408,11
409,12
410,5
411,12
412,7
413,9
414,7
415,8
416,15
417,9
418,8
419,6
420,7
421,8
422,7
423,8
424,7
425,7
426,7
427,12
428,6
429,6
430,2
431,7
432,3
433,4
434,8
435,7
436,8
437,6
438,10
439,4
440,6
441,7
442,9
443,14
444,8
445,8
446,4
447,4
448,3
449,9
450,4
451,2
