Moves,Frequencies
7,16
8,48
9,122
10,190
11,289
12,393
13,484
14,554
15,643
16,733
17,810
18,886
19,952
20,950
21,1020
22,1072
23,1123
24,1146
25,1091
26,1083
27,1125
28,1164
29,1134
30,1140
31,1112
32,1162
33,1154
34,1095
35,1086
36,1143
37,1093
38,1055
39,1043
40,1139
41,1079
42,1077
43,1056
44,992
45,1006
46,977
47,947
48,985
49,939
50,933
51,915
52,963
53,932
54,835
55,867
56,874
57,838
58,824
59,880
60,794
61,808
62,797
63,762
64,763
65,725
66,787
67,745
68,729
69,688
70,737
71,651
72,663
73,620
74,668
75,639
76,661
77,602
78,571
79,583
80,565
81,591
82,537
83,514
84,576
85,561
86,549
87,562
88,535
89,556
90,527
91,509
92,519
93,482
94,473
95,481
96,473
97,459
98,432
99,407
100,455
101,435
102,421
103,433
104,400
105,368
106,385
107,386
108,393
109,402
110,391
111,380
112,370
113,349
114,362
115,323
116,318
117,343
118,315
119,336
120,314
121,307
122,301
123,291
124,308
125,283
126,306
127,286
128,286
129,279
130,287
131,270
132,261
133,254
134,251
135,256
136,284
137,232
138,222
139,240
140,243
141,233
142,238
143,214
144,211
145,236
146,248
147,217
148,213
149,227
150,195
151,198
152,182
153,177
154,196
155,202
156,174
157,180
158,176
159,175
160,187
161,163
162,177
163,154
164,159
165,145
166,169
167,165
168,144
169,141
170,150
171,125
172,131
173,160
174,152
175,107
176,149
177,129
178,139
179,110
180,116
181,124
182,129
183,114
184,130
185,124
186,126
187,120
188,121
189,108
190,106
191,102
192,104
193,112
194,104
195,101
196,97
197,95
198,88
199,105
200,111
201,96
202,84
203,97
204,89
205,80
206,84
207,93
208,79
209,85
210,82
211,80
212,75
213,82
214,80
215,83
216,81
217,84
218,71
219,60
220,69
221,69
222,51
223,69
224,78
225,79
226,69
227,56
228,46
229,57
230,67
231,55
232,60
233,50
234,55
235,52
236,52
237,47
238,65
239,62
240,45
241,54
242,53
243,52
244,50
245,46
246,42
247,45
248,38
249,54
250,43
251,44
252,41
253,30
254,42
255,28
256,36
257,41
258,38
259,48
260,32
261,36
262,38
263,30
264,25
265,22
266,28
267,34
268,39
269,40
270,41
271,32
272,25
273,32
274,28
275,21
276,24
277,30
278,36
279,23
280,25
281,28
282,29
283,29
284,32
285,22
286,23
287,19
288,32
289,24
290,27
291,19
292,17
293,26
294,23
295,27
296,22
297,16
298,18
299,19
300,25
301,23
302,14
303,26
304,14
305,15
306,17
307,21
308,23
309,18
310,17
311,14
312,20
313,13
314,9
315,11
316,15
317,16
318,16
319,12
320,13
321,21
322,17
323,19
324,17
325,9
326,14
327,10
328,7
329,15
330,15
331,10
332,15
333,10
334,11
335,8
336,10
337,11
338,9
339,11
340,7
341,11
342,9
343,8
344,6
345,11
346,7
347,6
348,13
349,8
350,8
351,11
352,15
353,10
354,7
355,6
356,8
357,10
358,9
359,10
360,8
361,11
362,4
363,11
364,9
365,11
366,4
367,11
368,8
369,7
370,8
371,4
372,6
373,6
374,4
375,4
376,6
377,6
378,8
379,5
380,5
381,8
382,6
383,8
384,6
385,3
386,6
387,4
388,4
389,7
390,4
391,6
392,7
393,5
394,4
395,6
396,4
397,1
398,2
399,2
400,5
401,2
402,3
403,4
404,4
405,6
406,4
407,3
408,5
409,4
410,1
411,8
412,3
413,3
414,1
415,2
416,5
417,1
418,5
419,3
420,1
421,1
422,5
423,3
424,5
425,2
426,2
427,1
428,2
429,1
430,5
431,2
432,3
433,4
434,4
435,1
436,6
437,2
438,2
439,2
440,3
441,5
442,2
443,2
444,3
445,2
446,4
447,3
448,3
449,2


