Moves,Frequencies
6,23
7,43
8,73
9,110
10,109
11,150
12,178
13,164
14,175
15,190
16,201
17,199
18,199
19,220
20,229
21,227
22,234
23,224
24,228
25,195
26,252
27,227
28,236
29,226
30,245
31,228
32,237
33,218
34,241
35,229
36,204
37,256
38,202
39,209
40,224
41,201
42,217
43,202
44,219
45,195
46,216
47,215
48,233
49,230
50,237
51,216
52,182
53,232
54,194
55,204
56,229
57,217
58,220
59,185
60,206
61,222
62,218
63,210
64,212
65,189
66,185
67,216
68,203
69,224
70,217
71,162
72,198
73,203
74,213
75,224
76,218
77,205
78,202
79,190
80,211
81,199
82,192
83,192
84,191
85,180
86,198
87,222
88,219
89,221
90,195
91,225
92,170
93,184
94,225
95,168
96,184
97,186
98,176
99,210
100,166
101,228
102,179
103,184
104,191
105,177
106,189
107,190
108,174
109,193
110,166
111,213
112,187
113,184
114,204
115,176
116,203
117,169
118,199
119,209
120,155
121,182
122,170
123,178
124,171
125,167
126,164
127,163
128,162
129,157
130,176
131,172
132,167
133,191
134,182
135,183
136,189
137,205
138,190
139,157
140,160
141,183
142,172
143,202
144,175
145,148
146,158
147,161
148,136
149,165
150,174
151,148
152,183
153,174
154,154
155,162
156,166
157,161
158,176
159,151
160,191
161,149
162,157
163,170
164,141
165,185
166,172
167,164
168,167
169,155
170,186
171,162
172,174
173,169
174,141
175,156
176,162
177,146
178,149
179,143
180,148
181,156
182,160
183,175
184,145
185,160
186,145
187,128
188,156
189,170
190,154
191,173
192,167
193,140
194,152
195,157
196,184
197,132
198,160
199,152
200,147
201,149
202,142
203,143
204,167
205,156
206,160
207,156
208,151
209,151
210,131
211,154
212,131
213,151
214,152
215,168
216,134
217,126
218,146
219,144
220,131
221,151
222,133
223,137
224,131
225,136
226,124
227,150
228,127
229,158
230,122
231,156
232,161
233,127
234,129
235,145
236,146
237,121
238,144
239,138
240,142
241,134
242,131
243,124
244,135
245,135
246,118
247,121
248,150
249,137
250,139
251,146
252,119
253,128
254,150
255,137
256,132
257,122
258,120
259,140
260,136
261,121
262,142
263,142
264,138
265,126
266,133
267,123
268,133
269,132
270,141
271,120
272,134
273,123
274,128
275,123
276,122
277,134
278,138
279,127
280,113
281,129
282,136
283,124
284,120
285,141
286,131
287,108
288,112
289,119
290,119
291,123
292,128
293,119
294,112
295,141
296,116
297,92
298,136
299,105
300,135
301,109
302,115
303,112
304,156
305,127
306,109
307,110
308,111
309,114
310,117
311,95
312,121
313,112
314,98
315,125
316,114
317,124
318,94
319,106
320,131
321,115
322,117
323,102
324,82
325,92
326,92
327,93
328,120
329,111
330,98
331,101
332,92
333,99
334,113
335,101
336,122
337,99
338,94
339,103
340,117
341,98
342,101
343,106
344,88
345,111
346,115
347,94
348,120
349,104
350,110
351,99
352,100
353,118
354,117
355,102
356,101
357,110
358,120
359,108
360,98
361,108
362,101
363,90
364,99
365,97
366,118
367,83
368,113
369,108
370,94
371,88
372,104
373,93
374,98
375,121
376,99
377,116
378,102
379,105
380,91
381,107
382,106
383,97
384,100
385,88
386,107
387,96
388,103
389,95
390,96
391,91
392,109
393,88
394,97
395,94
396,77
397,91
398,110
399,104
400,92
401,98
402,90
403,76
404,90
405,92
406,76
407,93
408,74
409,89
410,88
411,100
412,94
413,91
414,91
415,102
416,95
417,85
418,105
419,106
420,91
421,97
422,92
423,98
424,102
425,89
426,86
427,78
428,75
429,77
430,80
431,97
432,97
433,79
434,71
435,89
436,88
437,89
438,86
439,85
440,84
441,99
442,92
443,85
444,71
445,82
446,82
447,86
448,91
449,92
450,97
451,86
