Moves,Frequencies
4,10
5,75
6,234
7,387
8,585
9,687
10,780
11,860
12,967
13,963
14,1079
15,1102
16,1058
17,1186
18,1146
19,1080
20,1106
21,1196
22,1119
23,1083
24,1112
25,1099
26,1015
27,995
28,1059
29,1004
30,1023
31,1011
32,917
33,938
34,946
35,965
36,927
37,893
38,939
39,889
40,897
41,841
42,833
43,804
44,784
45,874
46,809
47,829
48,805
49,815
50,751
51,771
52,739
53,740
54,723
55,697
56,681
57,702
58,700
59,670
60,673
61,653
62,669
63,671
64,654
65,606
66,617
67,644
68,642
69,603
70,607
71,544
72,578
73,584
74,594
75,582
76,553
77,504
78,546
79,521
80,509
81,482
82,506
83,490
84,484
85,473
86,494
87,484
88,474
89,488
90,468
91,481
92,469
93,412
94,406
95,431
96,424
97,461
98,440
99,398
100,385
101,365
102,429
103,381
104,366
105,371
106,336
107,353
108,383
109,338
110,334
111,322
112,332
113,347
114,329
115,333
116,321
117,319
118,267
119,290
120,284
121,324
122,278
123,296
124,311
125,296
126,311
127,290
128,270
129,259
130,272
131,287
132,237
133,243
134,235
135,242
136,254
137,258
138,250
139,268
140,241
141,251
142,246
143,229
144,235
145,230
146,211
147,223
148,220
149,204
150,210
151,219
152,180
153,211
154,216
155,215
156,196
157,207
158,183
159,169
160,190
161,189
162,190
163,198
164,162
165,180
166,181
167,180
168,174
169,168
170,163
171,146
172,159
173,127
174,146
175,168
176,165
177,133
178,129
179,148
180,150
181,120
182,130
183,148
184,142
185,108
186,126
187,140
188,136
189,144
190,124
191,106
192,108
193,121
194,115
195,91
196,105
197,117
198,114
199,110
200,112
201,89
202,108
203,95
204,105
205,95
206,111
207,110
208,92
209,89
210,92
211,107
212,117
213,96
214,108
215,97
216,97
217,80
218,89
219,77
220,82
221,72
222,70
223,81
224,72
225,68
226,64
227,76
228,67
229,84
230,79
231,68
232,53
233,79
234,70
235,74
236,72
237,56
238,62
239,74
240,68
241,62
242,55
243,67
244,59
245,72
246,70
247,69
248,67
249,59
250,53
251,54
252,66
253,55
254,68
255,60
256,51
257,53
258,55
259,58
260,43
261,46
262,48
263,58
264,43
265,40
266,35
267,50
268,41
269,40
270,34
271,38
272,52
273,53
274,47
275,37
276,42
277,27
278,29
279,38
280,43
281,42
282,44
283,46
284,34
285,30
286,42
287,26
288,42
289,37
290,35
291,37
292,28
293,24
294,28
295,38
296,36
297,31
298,26
299,35
300,17
301,33
302,25
303,24
304,28
305,28
306,26
307,28
308,25
309,32
310,19
311,17
312,28
313,24
314,24
315,18
316,24
317,16
318,24
319,21
320,16
321,25
322,21
323,28
324,17
325,21
326,16
327,25
328,20
329,17
330,20
331,17
332,21
333,13
334,23
335,15
336,17
337,19
338,18
339,7
340,19
341,15
342,10
343,12
344,16
345,11
346,22
347,23
348,21
349,10
350,14
351,14
352,14
353,18
354,13
355,11
356,19
357,17
358,11
359,11
360,12
361,14
362,8
363,14
364,17
365,15
366,14
367,13
368,9
369,10
370,7
371,13
372,10
373,10
374,15
375,14
376,6
377,12
378,14
379,5
380,13
381,14
382,14
383,8
384,12
385,8
386,12
387,11
388,13
389,11
390,11
391,8
392,7
393,7
394,10
395,7
396,9
397,10
398,9
399,5
400,7
401,8
402,13
403,7
404,9
405,5
406,8
407,7
408,7
409,7
410,5
411,6
412,9
413,8
414,4
415,6
416,6
417,7
418,5
419,7
420,5
421,3
422,10
423,10
424,3
425,8
426,1
427,12
428,4
429,5
430,5
431,4
432,11
433,3
434,3
435,9
436,9
437,4
438,5
439,7
440,5
441,8
442,2
443,6
444,4
445,6
446,8
447,3
448,5
449,6
450,10
451,5


