Moves,Frequencies
7,857
8,1141
9,1348
10,1498
11,1548
12,1652
13,1715
14,1671
15,1711
16,1656
17,1643
18,1656
19,1646
20,1688
21,1583
22,1539
23,1557
24,1499
25,1446
26,1451
27,1387
28,1398
29,1372
30,1358
31,1378
32,1300
33,1280
34,1269
35,1151
36,1168
37,1145
38,1133
39,1056
40,1072
41,1106
42,987
43,1091
44,1031
45,951
46,972
47,908
48,949
49,900
50,935
51,901
52,820
53,812
54,820
55,805
56,809
57,746
58,767
59,696
60,723
61,693
62,704
63,699
64,654
65,604
66,626
67,623
68,630
69,615
70,568
71,501
72,564
73,547
74,563
75,505
76,496
77,490
78,484
79,507
80,457
81,500
82,443
83,434
84,466
85,432
86,425
87,403
88,396
89,406
90,404
91,374
92,354
93,328
94,339
95,337
96,305
97,367
98,326
99,318
100,329
101,290
102,290
103,268
104,287
105,279
106,256
107,253
108,248
109,248
110,268
111,273
112,267
113,257
114,218
115,236
116,230
117,226
118,227
119,245
120,203
121,200
122,205
123,184
124,195
125,198
126,179
127,187
128,159
129,181
130,157
131,188
132,154
133,144
134,157
135,154
136,150
137,152
138,126
139,127
140,143
141,155
142,122
143,137
144,114
145,126
146,130
147,107
148,114
149,117
150,111
151,106
152,106
153,104
154,104
155,114
156,101
157,102
158,120
159,109
160,72
161,88
162,94
163,94
164,92
165,88
166,91
167,57
168,82
169,70
170,92
171,59
172,66
173,77
174,69
175,62
176,65
177,58
178,69
179,57
180,68
181,70
182,74
183,56
184,65
185,61
186,42
187,56
188,41
189,42
190,39
191,53
192,53
193,60
194,35
195,42
196,45
197,44
198,41
199,35
200,33
201,43
202,42
203,40
204,39
205,26
206,40
207,34
208,38
209,45
210,28
211,32
212,31
213,35
214,31
215,27
216,25
217,29
218,29
219,25
220,34
221,14
222,28
223,21
224,22
225,27
226,24
227,28
228,21
229,16
230,18
231,17
232,30
233,24
234,13
235,20
236,17
237,19
238,18
239,13
240,18
241,22
242,17
243,15
244,12
245,17
246,11
247,19
248,23
249,12
250,15
251,13
252,10
253,12
254,12
255,14
256,12
257,11
258,13
259,16
260,13
261,12
262,13
263,11
264,9
265,15
266,9
267,8
268,13
269,11
270,15
271,9
272,14
273,10
274,9
275,12
276,5
277,10
278,5
279,8
280,11
281,8
282,7
283,5
284,5
285,5
286,12
287,6
288,7
289,5
290,9
291,2
292,9
293,8
294,6
295,7
296,6
297,2
298,6
299,7
300,6
301,4
302,4
303,1
304,1
305,6
306,7
307,9
308,6
309,5
310,1
311,4
312,3
313,3
314,3
315,5
316,2
317,3
318,1
319,1
320,5
321,3
322,6
323,1
324,3
325,1
326,2
327,3
328,1
329,1
330,2
331,3
332,1
333,3
334,7
336,3
337,2
338,1
339,1
341,1
342,2
344,2
345,1
346,2
347,2
348,1
349,3
350,1
352,2
353,2
354,2
355,4
356,1
357,1
358,3
359,1
361,1
362,2
364,2
365,1
366,1
368,2
369,1
370,1
371,1
373,1
375,2
377,2
378,1
380,2
385,1
387,2
388,1
392,1
394,1
398,2
399,1
400,1
401,2
403,1
404,1
405,1
406,1
407,2
411,2
412,1
414,1
416,1
419,1
425,2
435,1
436,1
445,1

